kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_depth,koi_duration,koi_time0bk,koi_impact,koi_model_snr,koi_prad,ra,dec,koi_kepmag,kic9,fits_stem,lc_llc_glob,lc_slc_glob
10797460,K00752.02,Kepler-227 c,CONFIRMED,54.4183827,874.8,4.507,162.51384,0.586,25.8,2.83,291.93423,48.141651,15.347,010797460,kplr010797460,kplr010797460-*_llc.fits,kplr010797460-*_slc.fits
10811496,K00753.01,,CANDIDATE,19.89913995,10829.0,1.7822,175.850252,0.969,76.3,14.6,297.00482,48.134129,15.436,010811496,kplr010811496,kplr010811496-*_llc.fits,kplr010811496-*_slc.fits
10848459,K00754.01,,FALSE POSITIVE,1.736952453,8079.2,2.40641,170.307565,1.276,505.6,33.46,285.53461,48.28521,15.597,010848459,kplr010848459,kplr010848459-*_llc.fits,kplr010848459-*_slc.fits
10854555,K00755.01,Kepler-664 b,CONFIRMED,2.525591777,603.3,1.6545,171.59555,0.701,40.9,2.75,288.75488,48.2262,15.509,010854555,kplr010854555,kplr010854555-*_llc.fits,kplr010854555-*_slc.fits
10872983,K00756.03,Kepler-228 b,CONFIRMED,2.56658897,226.5,2.429,179.55437,0.755,15.0,1.59,296.28613,48.22467,15.714,010872983,kplr010872983,kplr010872983-*_llc.fits,kplr010872983-*_slc.fits
6721123,K00114.01,,FALSE POSITIVE,7.36178958,233.7,5.022,132.25053,1.169,47.7,39.21,298.86435,42.151569,12.66,006721123,kplr006721123,kplr006721123-*_llc.fits,kplr006721123-*_slc.fits
11446443,K00001.01,Kepler-1 b,CONFIRMED,2.470613377,14231.0,1.74319,122.763305,0.818,4304.3,13.04,286.80847,49.316399,11.338,011446443,kplr011446443,kplr011446443-*_llc.fits,kplr011446443-*_slc.fits
10666592,K00002.01,Kepler-2 b,CONFIRMED,2.204735417,6674.7,3.88864,121.3585417,0.224,5945.9,16.1,292.24728,47.969521,10.463,010666592,kplr010666592,kplr010666592-*_llc.fits,kplr010666592-*_slc.fits
6922244,K00010.01,Kepler-8 b,CONFIRMED,3.522498429,9145.7,3.19843,121.1194228,0.631,1741.5,14.59,281.28812,42.45108,13.563,006922244,kplr006922244,kplr006922244-*_llc.fits,kplr006922244-*_slc.fits
10419211,K00742.01,,FALSE POSITIVE,11.521446064,17984.0,3.6399,170.839688,2.483,622.1,150.51,297.07993,47.597401,15.472,010419211,kplr010419211,kplr010419211-*_llc.fits,kplr010419211-*_slc.fits
